Name,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying #,Accession Number,Date tested,Donor,Notes
[Adventure],Software,Game,Cartridge,Atari 2600,Adventure,Adventure,Atari,Warren Robinett,Atari,English,1979,N/A,N/A,N/A,2014.05.12,,Gary and Colleen Rynearson,
[Asteroids],Software,Game,Cartridge,Atari 2600,Asteroids,Asteroids,Atari,Brad Stewart,Atari,English,1981,N/A,N/A,N/A,2014.05.24,,Gary and Colleen Rynearson,
[Basketball],Software,Game,Cartridge,Atari 2600,Basketball,Basketball,Atari,Alan Miller,Atari,English,1978,N/A,N/A,N/A,2014.05.21,,Gary and Colleen Rynearson,
[Battlezone],Software,Game,Cartridge,Atari 2600,Battlezone,Battlezone,Atari,"Mike Feinstein, Brad Rice",Atari,English,1983,N/A,N/A,N/A,2014.05.13,,Gary and Colleen Rynearson,
[Brain Games],Software,Game,Cartridge,Atari 2600,Brain Games,Brain Games,Atari,Larry Kaplan,Atari,English,1978,N/A,N/A,N/A,2014.05.22,,Gary and Colleen Rynearson,
[Breakout],Software,Game,Cartridge,Atari 2600,Breakout,Breakout,Atari,Brad Stewart,Atari,English,1978,N/A,N/A,N/A,2014.05.23,,Gary and Colleen Rynearson,
[Casino],Software,Game,Cartridge,Atari 2600,Casino,Casino,Atari,Bob Whitehead,Atari,English,1979,N/A,N/A,N/A,2014.05.15,,Gary and Colleen Rynearson,
[Centipede],Software,Game,Cartridge,Atari 2600,Centipede,Centipede,Atari,N/A,Atari,English,1982,N/A,N/A,2676,2015.09.01,09/09/2015,,
[Combat],Software,Game,Cartridge,Atari 2600,Combat,Combat,Atari,Steve Mayer,Atari,English,1977,N/A,N/A,N/A,2014.05.11,,Gary and Colleen Rynearson,
[Cribbage & Dominoes],Software,Game,Cassette Tape (Double-Sided),Atari 400 / 800,Cribbage & Dominoes,Cribbage & Dominoes,Thorn EMI,J. Smith,Thorn EMI,English,1982,"Case, Instruction Manual",N/A,THE 11005 N,2013.07.303,6/05/2013,,One game on each side of cassette tape.
[Donkey Kong],Software,Game,Cartridge,Atari 2600,Donkey Kong,Donkey Kong,Nintendo,N/A,Coleco,English,1982,N/A,N/A,N/A,2013.12.29,12/18/2013,William Waite,
[E.T. the Extra-Terrestrial],Software,Game,Cartridge,Atari 2600,E.T. the Extra-Terrestrial,E.T.,Atari,Howard Scott Warshaw,Atari,English,1982,N/A,N/A,N/A,2014.05.25,,Gary and Colleen Rynearson,
[Eastern Front (1941)],Software,Game,Cartridge,Atari 400 / 800 / XL / XE,Eastern Front (1941),Eastern Front (1941),Atari,N/A,Atari,English,1982,N/A,N/A,RX8039,2013.07.300,6/02/2013,,
