Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes,image,360_image
AlphaFax Keyboard Display Unit,Hardware,Computing Device,AlphaFax,AlphaFax Keyboard Display Unit,Equitrac Corporation,AlphaFax,1993,,AL005571,,,,,,"3 serial, 3 telephone line",,,,2013.07.261,,,,,
Sifteo Cubes,Hardware,Computing Device,Sifteo Cubes,Sifteo Cubes,Sifteo,,2011,,,,,,8MB Flash,32-bit ARM,"Proprietary Near-Field Object Sensing Technology, 2.4 GHz Wireless Radio",,,Sifteo Charging Dock,2013.07.286.1.5,,,,,
The Etch A Sketch Animator,Hardware,Computing Device,The Etch A Sketch Animator,The Etch A Sketch Animator,Ohio Art Company,,1986,,05 07 87,,,,,,,,,,2013.12.53,2013-12-12,Clayton Lewis,Not working (could be batteries).,,
Victor 100 Printing Calculator,Hardware,Computing Device,Victor 100 Printing Calculator,Victor 100 Printing Calculator,Victor Technology,Victor 100,,,10988696,,,,,,,,,,2014.07.05,,Jane Thompson,,,
Slingbox Classic,Hardware,Computing Device,Slingbox,Slingbox Classic,Sling Media,SB100,2005,$199.99,SB100-100-60104636,,,,256 MB,Intel Pentium IV 1Ghz,"1 RJ-45 Ethernet Port, S-Video Pair (1-in/1-0ut), A/V Pair (1-in/1-out), 1 Female Coax Connection",,,,2014.07.29,,Brad Feld,,,
Texas Instruments TI-89 Calculator,Hardware,Computing Device,Texas Instruments TI-89 Calculator,Texas Instruments TI-89 Calculator,Texas Instruments,I-0194E,1991,,13024552,,,,,,,,,,2014.09.66,,Don Witte,,,
eSoft Internet Protocol Adapter (IPAD),Hardware,Computing Device,Internet Protocol Adapter,eSoft Internet Protocol Adapter (IPAD),eSoft,Internet Protocol Adapter,1993,,MEE-04195-011 (Beta Unit # 239),1x 3.5”,,Unknown,Unknown,Unknown,"AT Keyboard, Monitor Out, Digiboard Networking Peripheral, Unknown Serial Connection",,"DOS, Phar Lap 2861 DOS-Extender Version 3.1. (circa 1993 DOS)",,2014.1.131,2014-01-02,Rhizome,“This is a prototype for Beta testing and does not yet meet FCC requirements. Beta Unit # 239”,,
Minitel,Hardware,Computing Device,Minitel (“Médium interactif par numérisation d'information téléphonique”),Minitel,Alcatel Business Systems,Terminatel 258,47/91,Free (Lent to Phone Subscribers for Free),4098,,,,8K,MSM80C154,"1x Power (French CEE 7/5 socket), 1x Phone Line",,“Basic language and controlled by operating system called Alice”,,2014.2.4,,,Commercial collaboration for Télétel.,,
Bamboo Touch,Hardware,Computing Device,Bamboo Touch,,Wacom,CTT-460,,,9JAP032302,,,,,,USB,,"Apple MacOS X 10.4.8 or later, Microsoft Windows 7, Microsoft Windows Vista SP2, Microsoft Windows XP","CD-ROM, USB port",2018.09.38,,,Includes Bamboo tablet driver v.5.2.0 WIN/ 5.2.0 MAC disk,,
Tektronix 2205 20Mhz Oscilloscope,Hardware,Computing Device,Tektronix 2205 20Mhz Oscilloscope,,Tektronix,2205,1990,$695.00,2205 HK 53122,,,,,,,,,,2018.10.39,,Steven Sprouse,Includes bag of cables,,
Bernoulli Box II,Hardware,Computing Device,Bernoulli Box II,,IOMEGA Corporation,B120X,1987,,449410017,5¼-inch,,,,,Power cable,Connector cable,,,2018.10.40,,Neil M.,Includes two floppy disks,,
Apple Newton MessagePad 2000,Hardware,Computing Device,Apple Newton MessagePad 2000,,"Apple Computer, Inc.",H0136,1997,,,,,,"8 MB ROM, 1 MB RAM, 4 MB Flash memory",StrongARM SA-110 (162 MHz),"Dual-mode IR; IrDA & SHARP ASK Infrared, LocalTalk, Audio I/O, Autodock, Phone I/O",,Newton OS 2.1,Keyboard,2018.11.17,,,,,
Misty Robot,Hardware,Robotics Development Platform,Misty I,,Misty Robotics,Misty I,2018,"$1,500.00",PROTOTYPE MR-1452,,,,,,y,USB and FTDI,Windows 10 and Android,,2019.04.128,,Brad Feld,"Is a prototype model, has power supply and serial cable",,
Misty Robot,Hardware,Robotics Development Platform,Misty II,,Misty Robotics,Misty II,2019,"$2,399.00",EP1-1030,,,,,,y,USB and FTDI,Windows 10 and Android,,2019.04.129,,Brad Feld,"Is a pre-release model, has power supply and serial cable",,
REDFLY Mobile Companion,Hardware,Portable Computing Device,REDFLY Mobile companion,,Celio Corp,C8,2008,$200.00,RFC80832SM7094,,,,,,"VGA, USB x 2, Bluetooth",Bluetooth,Windows Mobile,"VGA projector/monitor, USB, Windows Mobile Phones",2019.04.133,2019-04-15,UCB Bookstore,"includes power cable, USB cable, manual, soft case. in box. ",,
Pantech Pursuit,Hardware,Mobile Phone,Pantech Pursuit,,Pantech,P9020,2008,$50.00,10410005530,,,,,,"proprietary USB, bluetooth, 2G GSM (AT&T)",Bluetooth,AT&T proprietary,proprietary headphones,2019.04.135,2019-04-15,UCB Bookstore,includes power cable,,
Nokia 2600 Classic,Hardware,Mobile Phone,Nokia 2600 Classic,,Nokia,2600c-2b,2008,,,,,,,,"bluetooth, proprietary usb","Bluetooth, smart chip","WAP browser, Nokia mobile proprietary",headphone jack,2019.04.136,2019-04-15,UCB Bookstore,includes power cable,,
