Item,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Drive Disk,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Tested [date],Donor,Notes
Motorola Cellular One Bag Phone,Hardware,Handheld Devices,Motorola Cellular One Bag Phone,Motorola Cellular One Bag Phone,Motorola,SCN2449A,,,GUE (13),,,,,,Cigarette Lighter Adapter,,,,2018.03.05,,,Comes in leather car carry bag and rechargeable battery.
Palm V,Hardware,Handheld Devices,Palm V,Palm V,3Com,Palm V,1999,$449.00,N/A,N/A,N/A,N/A,2MB,MC68EZ328 16 MHz,N/A,N/A,Palm OS 3.1,N/A,2018.03.13,,Chris Moody,Comes in Rhino Skin case.
Casio Exilim ,Hardware,Handheld Devices,Casio Exilim 8.1 mega pixel digital camera,Casio Exilim digital camera with YouTube Capture Mode,Casio Computer Co. Ltd.,Exilim,2007,$299.99,33007896A,N/A,N/A,N/A,N/A,N/A,USB/AV,N/A,YouTube Uploader for Casio software,N/A,2018.03.14,,,Comes in Denali tech case.
Handspring Visor PDA,Hardware,Handheld Devices,Handspring Visor PDA,Handspring Visor PDA,Handspring,Visor,2000,$449,N/A,N/A,N/A,N/A,N/A,N/A,AC,N/A,Palm OS 3.5.2H3,N/A,2018.03.21,,,
Franklin WordMaster Deluxe,Hardware,Handheld Devices,Franklin WordMaster Deluxe,Franklin WordMaster Deluxe,Franklin Electronic Publishers,WM-1055A,1987-1990,N/A,0-945731-50-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018.03.23,,,
Motorola XT907 Cell Phone,Hardware,Handheld Devices,Motorola XT907 Cell Phone,Motorola XT907 Cell Phone,Motorola,RAZR M 4G LTE,2012,,CE0168,N/A,N/A,N/A,1GB,N/A,"Power supply; Stereo, headphone jack",,NFC Android 4.0,N/A,2018.03.44,,,Comes in rubber case
Motorola Slvr Cell Phone,Hardware,Handheld Devices,Motorola Slvr Cell Phone,Motorola Slvr Cell Phone,Motorola,SLVR,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,mini-USB connector,N/A,N/A,N/A,2018.03.45,,,
Samsung Magnet,Hardware,Handheld Devices,Samsung Magnet,Samsung Magnet,Samsung,SGH-A177,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,micro-USB,WAP browser / MEdia Net,N/A,N/A,2018.03.46,,,
Samsung SGH A197 Flip Phone,Hardware,Handheld Devices,Samsung SGH A197 Flip Phone,Samsung SGH A197 Flip Phone,Samsung,SGH-A197,2010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Power supply; Stereo, headphone jack",Bluetooth,N/A,N/A,2018.03.47,,,
Motorola V191 Flip Phone,Hardware,Handheld Devices,Motorola V191 Flip Phone,Motorola V191 Flip Phone,Motorola,V191,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Power supply; Stereo, headphone jack",N/A,N/A,N/A,2018.03.48,,,
Motorola RAZR V3,Hardware,Handheld Devices,Motorola RAZR V3,Motorola RAZR V3,Motorola,V3,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Power supply; Stereo, headphone jack",N/A,N/A,N/A,2018.03.49,,,
LG Prime Cell Phone,Hardware,Handheld Devices,LG Prime Cell Phone,LG Prime Cell Phone,LG,GS390,2010,$99,N/A,N/A,N/A,N/A,N/A,N/A,"Power supply; Stereo, headphone jack",N/A,N/A,N/A,2018.03.50,,,
LG Neon Cell Phone,Hardware,Handheld Devices,LG Neon Cell Phone,LG Neon Cell Phone,LG,GT365,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Power supply; Stereo, headphone jack",N/A,N/A,N/A,2018.03.51,,,
Yashica-D TLR Camera,Hardware,Handheld Devices,Yashica-D TLR Camera,Yashica-D TLR Camera,Yashica,D,1958-1974,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018.04.16,,,
Polaroid 420 Automatic Land Camera,Hardware,Handheld Devices,Polaroid 420 Automatic Land Camera,Polaroid 420 Automatic Land Camera,Polaroid,420 Automatic Land Camera,1971,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018.04.17,,,
Mattel Electronics Soccer,Hardware,Handheld Devices,Mattel Electronics Soccer,Mattel Electronics Soccer,Mattel,N/A,1978,N/A,1052-0330,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018.04.47,,,
GameBoy Printer,Hardware,Handheld Devices,GameBoy Printer,GameBoy Printer,Nintendo,MGB-007,1998,N/A,103279082,N/A,N/A,N/A,N/A,N/A,EXT.IN port,N/A,N/A,N/A,2018.04.48,,,Comes with instruction booklet
GameBoy Pocket,Hardware,Handheld Devices,GameBoy Pocket,GameBoy Pocket,Nintendo,Pocket,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"DC Jack, Ext. port ",N/A,N/A,GameBoy Camera,2018.04.49,,,Comes with Consumer Precaution booklet and Owner's Manual
