Name,Medium,Type,Product Name,Username,Manufacturer,Model,Year,Original Price,Serial,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes,image,360_image
Handspring Visor Neo Blue,Hardware,Handheld Device,Visor,Handspring Visor Neo Blue,Handspring,Visor,2001,,ABBEB03001840,,,,8MB, MC68VZ328 DragonBall Processor at 33 MHz,Handspring Power Serial Connections,,Palm OS 3.5.2H3,,2014.06.18,,Steve Outing,"Power supply, 2 tylus pens, “Getting Started” software and a “Quick Reference Guide.”",,
Samsung SPH-i330 “PDA Phone”,Hardware,Handheld Device,Samsung SPH-i330,Samsung SPH-i330 “PDA Phone”,Samsung,SPH-i330,2003,,51E0C5A9,,,,,33 MHz,Headphone Port,,Palm OS 3.5,Desktop Charging Station,,,Brad Feld,2 duplicates in collection. Desktop charger and spare battery included. Damaged headphone port on both items.,,
Palm V,Hardware,Handheld Device,Palm V,Palm V,Palm,Palm V,1999,$449.00,,,,,2MB,MC68EZ328 16 MHz,,,Palm OS 3.1,Desktop Charging Station,2014.07.31,,Brad Feld,Missing stylus.,,
Qualcomm QCP-2760 “Thin Phone”,Hardware,Handheld Device,Qualcomm QCP-2760,hone”,Qualcomm,QCP-2760,1999,,61-5099A-01,,,,,,,,,,2014.07.32,,Brad Feld,Power cord (now frayed) included.,,
Qualcomm QCP-1920,Hardware,Handheld Device,Qualcomm QCP-1920,Qualcomm QCP-1920,Qualcomm,QCP-1920,1998,$99.99,V9820411382,,,,,,,,,,2014.07.33,,Brad Feld,Includes charger.,,
Fujitsu Pocket Commander,Hardware,Handheld Device,Fujitsu Pocket Commander,Fujitsu Pocket Commander,Fujitsu,F80P-171,1991,$1195.00,27416617,,,,,,,,,,2014.07.35,,Brad Feld,,,
Samsung SPH-i500,Hardware,Handheld Device,Samsung SPH-i500,Samsung SPH-i500,Samsung,SPH-i500,2003,$600.00,05605025762,,,,16 MB,Dragonball 66 MHz,Headphone Jack,,Palm OS 4.1,,2014.07.36,,Brad Feld,Headphone jack damaged.,,
Sony CM-RX100,Hardware,Handheld Device,Sony CM-RX100,Sony CM-RX100,Sony,CM-RX100,1995,,15401781930,,,,,,,,,Desktop Charging Base Station (Included),2014.07.37,,Brad Feld,Includes base station and instruction manual.,,
Sanyo SCP-4900,Hardware,Handheld Device,Sanyo SCP-4900,Sanyo SCP-4900,Sanyo,SCP-4900,2002,$100.00,24707966778,,,,,,Headphone Jack,,Proprietary,,2014.07.38,,Brad Feld,No charger.,,
Qualcomm QCP-1960 “Thin Phone”,Hardware,Handheld Device,Qualcomm QCP-1960,Qualcomm QCP-1960 “Thin Phone”,Qualcomm,QCP-1960,1999,$99.99,61-5535E-02,,,,,,,,,,2014.07.39,,Brad Feld,,,
Sanyo SCP-4500,Hardware,Handheld Device,Sanyo SCP-4500,Sanyo SCP-4500,Sanyo,SCP-4500,2000,,24705363995,,,,,,Headphone Jack,,,,2014.07.40,,Brad Feld,,,
Lytro Light Field Camera,Hardware,Handheld Device,Lytro Light Field Camera,Lytro Light Field Camera,Lytro,M01-100002,2012,$499.99,A202210056,,,8GB,,,Mico-USB Port,,,,2014.08.10,,Brad Feld,Missing micro-USB cord for charging and uploading.,,
Sony Ericcson T616,Hardware,Handheld Device,Sony Ericcson T616,Sony Ericcson T616,Sony,T616,2003,,01019700-084561-2,,,2MB Internal Memory,,,,,Proprietary,,2014.08.28,,,,,
HP Jornada 568 Pocket PC,Hardware,Handheld Device,HP Jornada 568 Pocket PC,HP Jornada 568 Pocket PC,HP,F2915A (568),2002,,SG20341576,,,32MB Flash ROM,64MB,206MHz 32-bit StrongArm,Comms Port; Headphone Jack; IrDA Infared,CompactFlash Type I Extended Port,PocketPC 2002,,2014.08.29,,,Includes leather case.,,
BlackBerry 7100G,Hardware,Handheld Device,BlackBerry 7100G,BlackBerry 7100G,BlackBerry,7100G,2005,$299,810617009989,,,,4MB,,Headphone Jack,,BlackBerry Handheld OS,,2014.09.91,,,SD Card not included. Includes leather holster. Battery panel slightly chipped.,,
LG VX3400,Hardware,Handheld Device,LG VX3400,LG VX3400,LG,VX3400,2006,$29.99,611CYGW0507759,,,,,,Headphone Jack,,,,2014.09.92,,,,,
Samsung SPH-M500,Hardware,Handheld Device,Samsung SPH-M500,Samsung SPH-M500,Samsung,SPH-M500,2006,,1670EC25,,,,,,Headphone Jack; MicroSD Card Slot,,,,2014.09.93,,,Battery showing signs of expansion.,,
Nokia 3120B,Hardware,Handheld Device,Nokia 3120B,Nokia 3120B,Nokia,3120B,2004,,797553009726,,,,,,,,Java,,2014.09.94,,,Charger included.,,
Dell AXIM X5 Pocket PC,Hardware,Handheld Device,AXIM X5,Dell AXIM X5 Pocket PC,Dell,HC01U,2005,$279 Base Price,TW-0C136-70161-2C3-AACL,,,,32MB,300 MHz Intel XScale PXA250 Processor,Dell Proprietary Data and Power Serial Connections,,Windows Mobiles,,2014.1.127,,Chris Moody,,,
Handspring Palm Treo Smartphone,Hardware,Handheld Device,Treo,Handspring Palm Treo Smartphone,Handspring,Treo,2002,,FDFED234201F5,,,,16MB,33 MHz Motorola MC68VZ328,Handspring Proprietary Power and Data Connection,,Palm OS,,2014.1.129,,Chris Moody,,,
Panasonic LS-SX320,Hardware,Handheld Device,Panasonic LS-SX320,Panasonic LS-SX320,Panasonic,LS-SX320,2003,,WM3CA004711,,,,,,,DC In 4.5V,,,2015.04.07,,,Charger not included.,,
Sony Cassette-Corder,Hardware,Handheld Device,Sony Cassette-Corder,Sony Cassette-Corder,Sony,TCM-260,,,15376,,,,,,,DC IN 6V,,,2015.04.09,,,Charger not included. Visible battery acid damage. Includes leather case.,,
Motorola Cellular One Bag Phone,Hardware,Handheld Devices,Motorola Cellular One Bag Phone,Motorola Cellular One Bag Phone,Motorola,SCN2449A,,,GUE (13),,,,,,Cigarette Lighter Adapter,,,,2018.03.05,,,Comes in leather car carry bag and rechargeable battery.,,
Palm V,Hardware,Handheld Devices,Palm V,Palm V,3Com,Palm V,1999,$449.00,,,,,2MB,MC68EZ328 16 MHz,,,Palm OS 3.1,,2018.03.13,,Chris Moody,Comes in Rhino Skin case.,,
