Name,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying Number,Accession Number,Date Tested,Donor,Notes,image,360_image
Space Hawk,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Space Hawk,Space Hawk,Mattel,Mattel,Mattel,English,1981,,,,2013.12.67,,Patrick Martin and Adam Wilson,,,
Football,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Football,Football,Mattel,Mattel,,English,1979,,,,2013.12.68,,Patrick Martin and Adam Wilson,,,
Triple Action,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Triple Action,Triple Action,Mattel,Mattel,Mattel,English,1981,,,,2013.12.69,,Patrick Martin and Adam Wilson,,,
Star Strike,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Star Strike,Star Strike,Mattel,Mattel,Mattel,English,1981,,,,2013.12.70,,Patrick Martin and Adam Wilson,,,
Night Stalker,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Night Stalker,Night Stalker,Mattel,Mattel,Mattel,English,1982,,,,2013.12.71,,Patrick Martin and Adam Wilson,,,
Backgammon,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Backgammon,Backgammon,Mattel,Mattel,Mattel,English,1979,,,,2013.12.72,,Patrick Martin and Adam Wilson,,,
Advanced Dungeons and Dragons,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Mattel,Mattel,Mattel,English,1982,,,,2013.12.73,,Patrick Martin and Adam Wilson,2013.12.89.,,
Lock ‘N’ Chase,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Lock ‘N’ Chase,Lock ‘N’ Chase,Data East,Data East,"Data East, Taito",English,1982,,,,2013.12.74,,Patrick Martin and Adam Wilson,,,
Las Vegas Poker and Blackjack,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Las Vegas Poker and Blackjack,Las Vegas Poker and Blackjack,Mattel,Mattel,Mattel,English,1979,,,,2013.12.75,,Patrick Martin and Adam Wilson,2013.12.84.,,
Reversi,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Reversi,Reversi,Mattel,Mattel,Mattel,English,1982,,,,2013.12.76,,Patrick Martin and Adam Wilson,,,
Auto Racing,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Auto Racing,Auto Racing,Mattel,Mattel,Mattel,English,1979,,,,2013.12.77,,Patrick Martin and Adam Wilson,,,
Burger Time,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Burger Time,Burger Time,Data East,Data East,"Data East, Bally Midway",English,1982,,,,2013.12.78,,Patrick Martin and Adam Wilson,,,
Beauty and the Beast,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Beauty and the Beast,,Imagic,Imagic,Imagic,English,1982,,,,2013.12.79,,Patrick Martin and Adam Wilson,,,
Demon Attack,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Demon Attack,Demon Attack,Imagic,Imagic,Imagic,English,1982,,,,2013.12.80,,Patrick Martin and Adam Wilson,,,
Ice Trek,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Ice Trek,Ice Trek,Imagic,Imagic,Imagic,English,1983,,,,2013.12.81,,Patrick Martin and Adam Wilson,,,
Atlantis,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Atlantis,Atlantis,Imagic,Imagic,Imagic,English,1982,,,,2013.12.82,,Patrick Martin and Adam Wilson,,,
Frogger,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Frogger,Frogger,Sega,Konami,Parker Bros.,English,1983,,,,2013.12.83,,Patrick Martin and Adam Wilson,,,
Royal Dealer,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Royal Dealer,Royal Dealer,Mattel,Mattel,Mattel,English,1982,,,,2013.12.85,,Patrick Martin and Adam Wilson,,,
Tron Maze-a-Thon,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Tron Maze-a-Thon,Tron Maze-a-Thon,Mattel,Mattl,Mattel,English,1982,,,,2013.12.86,,Patrick Martin and Adam Wilson,,,
Tron Solar Sailer,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Tron Solar Sailer,Tron Solar Sailer,Mattel,Mattel,Mattel,English,1983,,,,2013.12.87,,Patrick Martin and Adam Wilson,,,
Bomb Squad,Software,Game,Intellivision Cartridge (ROM),Mattel Intellivision,Bomb Squad,Bomb Squad,Mattel,Mattel,Mattel,English,1982,,,,2013.12.88,,Patrick Martin and Adam Wilson,,,
