Name,Medium,Type,Product Name,User Name,Intended Compatibility,Interface,Model,Serial,Year,Accession #,Tested [date],Donor,Notes
[Adaptec AHA-2930CU SCSI Controller Card],Peripheral,Internal Expansion Card,Adaptec AHA-2930CU SCSI Controller Card,Adaptec AHA-2930CU SCSI Controller Card,PC,PCI,AHA-2930CU,BD0D3130046,1997,2014.08.53,,,
[Adaptec AHA-2930U2 SCSI Controller Card],Peripheral,Internal Expansion Card,Adaptec 2930U2 SCSI Controller Card,Adaptec 2930U2 SCSI Controller Card,PC,PCI,AHA-2930U2,BC0B949Z221,1999,2014.08.52,,,
[AirLink+ PCI Network Adaptor Card],Peripheral,Internal Expansion Card,AirLink+ PCI Network Adaptor Card,AirLink+ PCI Network Adaptor Card,PC,PCI Slot,AGIGA32PCI,9705GA1200T0UA1,2003,2014.08.08,,Brad Feld,Original in box. Includes floppy disk containing driver software.
[ALi M5273 2-Port USB PCI Card],Peripheral,Internal Expansion Card,ALi M5273 2-Port USB PCI Card,ALi M5273 2-Port USB PCI Card,PC,PCI,M5273,AKC20721000C,2007,2014.08.54,,,Driver CD included.
[Apple 200MHz Processor Card],Peripheral,Internal Expansion Card,Apple 200MHz Processor Card,Apple 200MHz Processor Card,Macintosh,N/A,820-0849-A,Y500GRL$,1996,2014.09.5,,,
[Apple II Serial Interface Card],Peripheral,Internal Expansion Card,Apple II Serial Interface Card,Apple II Serial Interface Card,MAC,Serial,SW1-1,670-X005,1978,2014.09.54,,Keith Moore,In box. Includes original sales receipt for $19.95.
[Apple PowerMac 200MHz Processor Card],Peripheral,Internal Expansion Card,Apple PowerMac 200MHz Processor Card,Apple PowerMac 200MHz Processor Card,Macintosh,N/A,820-0928-A,YG02P1RS,1997,2014.09.4,,,
[ATI Rage IIC Graphics Card],Peripheral,Internal Expansion Card,ATI Rage IIC Graphics Card,ATI Rage IIC Graphics Card,PC/Macintosh,AGP 2x,109-49300-01,1024930101008204,1998,2014.08.50,,,
[ATI Rage Pro Turbo Graphics Card],Peripheral,Internal Expansion Card,ATI Rage Pro Turbo Graphics Card,ATI Rage Pro Turbo Graphics Card,PC,AGP 2x,109-49800-11,32881-9CM-2FR6,1998,2014.08.49,,,
[Creative Labs CT4250 Sound Blaster Sound Card],Peripheral,Internal Expansion Card,Creative Labs Sound Blaster Sound Card,Creative Labs Sound Blaster Sound Card,PC,PCI,CT4250,M4520740469787,1996,2014.08.62,,,
