Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes,image,360_image
"ON THREE - Volume 1, Number 1 - January 1983",Printed Matter,Magazine,"ON THREE - Volume 1, Number 1 - January 1983",,Bob Consorti,,ON THREE,1983,English,Computer Magazine,,2013.07.389,Keith Moore,,,
"ON THREE - Volume 1, Number 2 - February-March 1983",Printed Matter,Magazine,"ON THREE - Volume 1, Number 2 - February-March 1983",,Bob Consorti,,ON THREE,1983,English,Computer Magazine,,2013.07.390,Keith Moore,,,
"ON THREE - Volume 1, Number 3 - April-May 1983",Printed Matter,Magazine,"ON THREE - Volume 1, Number 3 - April-May 1983",,Bob Consorti,,ON THREE,1983,English,Computer Magazine,,2013.07.391,Keith Moore,,,
"ON THREE - Volume 1, Number 4 - June-July 1983",Printed Matter,Magazine,"ON THREE - Volume 1, Number 4 - June-July 1983",,Bob Consorti,,ON THREE,1983,English,Computer Magazine,,2013.07.392,Keith Moore,,,
"ON THREE - Volume 2, Number 1",Printed Matter,Magazine,"ON THREE - Volume 2, Number 1",,Bob Consorti,,ON THREE,1984,English,Computer Magazine,,2013.07.393,Keith Moore,,,
Hewlett Packard Computer Users Catalog - Summer 1987,Printed Matter,Magazine,Hewlett Packard Computer Users Catalog - Summer 1987,,,,Hewlett Packard,1987,English,Computer Catalog,5/87 5953-2450D,2013.07.485,Julie Gemmell,,,
Hewlett Packard Computer Users Catalog - Summer 1986,Printed Matter,Magazine,Hewlett Packard Computer Users Catalog - Summer 1986,,,,Hewlett Packard,1986,English,Computer Catalog,6/86 5953-2461D,2013.07.486,Julie Gemmell,,,
Hewlett Packard Computer Users Catalog - Spring/Summer 1985,Printed Matter,Magazine,Hewlett Packard Computer Users Catalog - Spring/Summer 1985,,,,Hewlett Packard,1985,English,Computer Catalog,4/85 5953-2450D,2013.07.487,Julie Gemmell,,,
The HP Personal Computer Plotters and the HP 150 Personal Computer Graphics Software Guide,Printed Matter,Magazine,The HP Personal Computer Plotters and the HP 150 Personal Computer Graphics Software Guide,Hewlett Packard,,,,Oct 1984,English,Informational,(11)5953-9791 (D),2013.07.488,Julie Gemmell,,,
Computers in Literary and Linguistic Research,Printed Matter,Journal,Computers in Literary and Linguistic Research,,,Not Listed,Association for Literary and Linguistic Computing,1984,English/French,Program,,2013.07.652,Aaron Kuhn,2-6 April 1984,,
Micro Marketworld,Printed Matter,Magazine,Micro Marketworld,,,Osborne,CW Communications,1984,English,Computer Magazine,,2013.07.761,,“This is the first Osborne newsletter to our customers of record.”,,
"ALLC Bulletin - Volume 7, Number 2 - 1979",Printed Matter,Journal,"ALLC Bulletin - Volume 7, Number 2 - 1979",,Susan M. Hockey,,Association for Literary and Linguistic Computing,1979,English,Computer Magazine,ISSN 0305-9855,2013.07.796,,,,
"ALLC Bulletin - Volume 7, Number 1 - 1979",Printed Matter,Journal,"ALLC Bulletin - Volume 7, Number 1 - 1979",,Susan M. Hockey,,Association for Literary and Linguistic Computing,1979,English,Computer Magazine,ISSN 0305-9855,2013.07.797,,,,
"ALLC Bulletin - Volume 8, Number 3 - 1980",Printed Matter,Journal,"ALLC Bulletin - Volume 8, Number 3 - 1980",,Susan M. Hockey,,Association for Literary and Linguistic Computing,1980,English,Computer Magazine,ISSN 0305-9855,2013.07.798,,Incorrectly Dated “1981”,,
"ALLC Bulletin - Volume 8, Number 1 - 1980",Printed Matter,Journal,"ALLC Bulletin - Volume 8, Number 1 - 1980",,Susan M. Hockey,,Association for Literary and Linguistic Computing,1980,English,Computer Magazine,ISSN 0305-9855,2013.07.799,,,,
"ALLC Bulletin - Volume 4, Number 3 - 1976",Printed Matter,Journal,"ALLC Bulletin - Volume 4, Number 3 - 1976",,Joan M. Smith,,Association for Literary and Linguistic Computing,1976,English,Computer Magazine,ISSN 0305-9855,2013.07.800,,,,
"ALLC Bulletin - Volume 4, Number 2 - 1976",Printed Matter,Journal,"ALLC Bulletin - Volume 4, Number 2 - 1976",,Joan M. Smith,,Association for Literary and Linguistic Computing,1976,English,Computer Magazine,ISSN 0305-9855,2013.07.801,,,,
"ALLC Bulletin - Volume 6, Number 3 - 1978",Printed Matter,Journal,"ALLC Bulletin - Volume 6, Number 3 - 1978",,Frank E. Knowles and John L. Dawson,,Association for Literary and Linguistic Computing,1978,English,Computer Magazine,ISSN 0305-9855,2013.07.802,,,,
"ALLC Bulletin - Volume 6, Number 2 - 1978",Printed Matter,Journal,"ALLC Bulletin - Volume 6, Number 2 - 1978",,Frank E. Knowles and John L. Dawson,,Association for Literary and Linguistic Computing,1978,English,Computer Magazine,ISSN 0305-9855,2013.07.803,,,,
"Literary & Linguistic Computing - Volume 4, Number 1 - 1989",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 4, Number 1 - 1989",,Gordon Dixon,,Oxford University Press,1989,English,Computer Magazine,ISSN 0268-1145,2013.07.804,,,,
"Literary & Linguistic Computing - Volume 4, Number 4 - 1989",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 4, Number 4 - 1989",,Gordon Dixon,,Oxford University Press,1989,English,Computer Magazine,ISSN 0268-1145,2013.07.805,,,,
"Literary & Linguistic Computing - Volume 3, Number 2 - 1988",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 3, Number  - 1988",,Gordon Dixon,,Oxford University Press,1988,English,Computer Magazine,ISSN 0268-1145,2013.07.806,,,,
"Literary & Linguistic Computing - Volume 3, Number 3 - 1988",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 3, Number 3 - 1988",,Gordon Dixon,,Oxford University Press,1988,English,Computer Magazine,ISSN 0268-1145,2013.07.807,,,,
"Literary & Linguistic Computing - Volume 2, Number 3 - 1987",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 2, Number 3 - 1987",,Gordon Dixon,,Oxford University Press,1987,English,Computer Magazine,ISSN 0268-1145,2013.07.808,,,,
"Perspectives in Computing - Volume 1, Number 1 - February 1981",Printed Matter,Journal,"Perspectives in Computing - Volume 1, Number 1 - February 1981",,Donald T. Sanders,,IBM,1981,English,Computer Magazine,ISSN 0273-4621,2013.07.809,,,,
"Perspectives in Computing - Volume 1, Number 2 - April 1981",Printed Matter,Journal,"Perspectives in Computing - Volume 1, Number 2 - April 1981",,Donald T. Sanders,,IBM,1981,English,Computer Magazine,ISSN 0273-4621,2013.07.810,,,,
"Perspectives in Computing - Volume 1, Number 4 - December 1981",Printed Matter,Journal,"Perspectives in Computing - Volume 1, Number 4 - December 1981",,Donald T. Sanders,,IBM,1981,English,Computer Magazine,ISSN 0273-4621,2013.07.811,,,,
"Perspectives in Computing - Volume 2, Number 1 - March 1982",Printed Matter,Journal,"Perspectives in Computing - Volume 2, Number 1 - March 1982",,Donald T. Sanders,,IBM,1982,English,Computer Magazine,ISSN 0273-4621,2013.07.812,,,,
"ALLC Journal - Volume 2, Number 1 - Summer 1981",Printed Matter,Journal,"ALLC Journal - Volume 1, Number 1 - Summer 1981",,Rex Last and Brian Murdoch,,Association for Literary and Linguistic Computing,1981,English,Computer Magazine,ISSN 0143-3385,2013.07.813,,,,
"ALLC Journal - Volume 1, Number 1 - Summer 1980",Printed Matter,Journal,"ALLC Journal - Volume 1, Number 1 - Summer 1980",,Rex Last,,Association for Literary and Linguistic Computing,1980,English,Computer Magazine,ISSN 0143-3385,2013.07.814,,,,
"ALLC Bulletin - Volume 9, Number 1 - 1981",Printed Matter,Journal,"ALLC Bulletin - Volume 9, Number 1 - 1981",,Susan M. Hockey,,Association for Literary and Linguistic Computing,1981,English,Computer Magazine,ISSN 0305-9855,2013.07.815,,,,
"ALLC Bulletin - Volume 9, Number 2 - 1981",Printed Matter,Journal,"ALLC Bulletin - Volume 9, Number 2 - 1981",,Susan M. Hockey,,Association for Literary and Linguistic Computing,1981,English,Computer Magazine,ISSN 0305-9855,2013.07.816,,,,
"ALLC Bulletin - Volume 13, Number 3 - 1985",Printed Matter,Journal,"ALLC Bulletin - Volume 13, Number 3 - 1985",,Gordon Dixon,,Association for Literary and Linguistic Computing,1985,English,Computer Magazine,ISSN 0305-9855,2013.07.817,,,,
"Literary & Linguistic Computing - Volume 5, Number 1 - 1990",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 5, Number 1 - 1990",,Gordon Dixon,,Oxford University Press,1990,English,Computer Magazine,ISSN 0268-1145,2013.07.818,,,,
"Literary & Linguistic Computing - Volume 4, Number 2 - 1989",Printed Matter,Journal,"Literary & Linguistic Computing - Volume 4, Number 2 - 1989",,Gordon Dixon,,Oxford University Press,1989,English,Computer Magazine,ISSN 0268-1145,2013.07.819,,,,
"PC World - Volume 1, Number 2",Printed Matter,Magazine,"PC World - Volume 1, Number 2",,David H. Bunnell,,"PC World Communications, Inc.",1983,English,Computer Magazine,,2013.07.820,,,,
"PC World - Volume 1, Number 1",Printed Matter,Magazine,"PC World - Volume 1, Number 1",,David H. Bunnell,,"PC World Communications, Inc.",1983,English,Computer Magazine,,2013.07.821,,,,
"PC World - Volume 1, Number 5",Printed Matter,Magazine,"PC World - Volume 1, Number 5",,David H. Bunnell,,"PC World Communications, Inc.",1983,English,Computer Magazine,,2013.07.822,,,,
"PC World - Volume 1, Number 4",Printed Matter,Magazine,"PC World - Volume 1, Number 4",,David H. Bunnell,,"PC World Communications, Inc.",1983,English,Computer Magazine,,2013.07.823,,,,
"PC World - Volume 1, Number 3",Printed Matter,Magazine,"PC World - Volume 1, Number 3",,David H. Bunnell,,"PC World Communications, Inc.",1983,English,Computer Magazine,,2013.07.824,,,,
Computer Shopper: The Computer Magazine for Direct Buyers - July 1994 (14.7),Printed Matter,Magazine,The Computer Magazine for Direct Buyers - July 1994 (14.7),,John Blackford,,Ziff-Davis,1994,English,Computer Catalogue--Shopping,ISSN 0886-0556,2013.07.828,Aaron Kuhn,"Volume 14, Number 7, Issue 172",,
"Atari Connection - Volume 3, Number 1 - Spring 1983",Printed Matter,Magazine,"Atari Connection - Volume 3, Number 1 - Spring 1983",,Ted Richards,,Atari Inc.,1983,English,Computer Magazine,C017668-09,2013.07.833,Timothy P. Sweeney,,,
"Atari Connection - Volume 2, Number 4 - Winter 1982-93",Printed Matter,Magazine,"Atari Connection - Volume 2, Number 4 - Winter 1982-93",,Ted Richards,,Atari Inc.,1982-83,English,Computer Magazine,C017668-08,2013.07.834,Timothy P. Sweeney,,,
"Atari Connection - Volume 2, Number 1 - Spring 1982",Printed Matter,Magazine,"Atari Connection - Volume 2, Number 1 - Spring 1982",,Ted Richards,,Atari Inc.,1982,English,Computer Magazine,C017668-05,2013.07.835,Timothy P. Sweeney,,,
Atari Special Editions - Volume 1 - Winter 1982,Printed Matter,Magazine,Atari Special Editions - Volume 1 - Winter 1982,,,,Atari Inc.,1982,English,Computer Catalog,C060018 Rev. 1,2013.07.836,Timothy P. Sweeney,“Catalog of Additional Products For Your Atari Home Computer”,,
"Antic: The ATARI Resource - Volume 1, Number 3 - August 1982",Printed Matter,Magazine,"The ATARI Resource - Volume 1, Number 3 - August 1982",,James Capparell,,ANTIC Publishing,1982,English,Computer Magazine,,2013.07.837,Timothy P. Sweeney,,,
"Antic: The ATARI Resource - Volume 1, Number 2 - June 1982",Printed Matter,Magazine,"The ATARI Resource - Volume 1, Number 2 - June 1982",,James Capparell,,ANTIC Publishing,1982,English,Computer Magazine,,2013.07.838,Timothy P. Sweeney,,,
APX - Atari Program Exchange - Software Catalog Winter Edition - 1982-83,Printed Matter,Magazine,APX - Atari Program Exchange - Software Catalog Winter Edition - 1982-83,,Ann Kelcy,,ATARI Program Exchange,1982-83,English,Computer Catalog,,2013.07.839,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”,,
APX - Atari Program Exchange - Software Catalog Fall Edition - 1982,Printed Matter,Magazine,APX - Atari Program Exchange - Software Catalog Fall Edition - 1982,,Ann Kelcy,,ATARI Program Exchange,1982,English,Computer Catalog,,2013.07.840,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”,,
APX - Atari Program Exchange - Software Catalog Summer Edition - 1982,Printed Matter,Magazine,APX - Atari Program Exchange - Software Catalog Summer Edition - 1982,,Ann Kelcy,,ATARI Program Exchange,1982,English,Computer Catalog,,2013.07.841,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”,,
APX - Atari Program Exchange - Software Catalog Spring Edition - 1982,Printed Matter,Magazine,APX - Atari Program Exchange - Software Catalog Spring Edition - 1982,,Ann Kelcy,,ATARI Program Exchange,1982,English,Computer Catalog,,2013.07.842,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”,,
"Family Computing - Volume 4, Number 8 - August 1986",Printed Matter,Magazine,"Family Computing - Volume 4, Number 8 - August 1986",,Claudia Cohl,,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.843,Timothy P. Sweeney,,,
"Family Computing - Volume 4, Number 6 - June 1986",Printed Matter,Magazine,"Family Computing - Volume 4, Number 6 - June 1986",,Claudia Cohl,,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.844,Timothy P. Sweeney,,,
"Family Computing - Volume 4, Number 5 - May 1986",Printed Matter,Magazine,"Family Computing - Volume 4, Number 5 - May 1986",,Claudia Cohl,,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.845,Timothy P. Sweeney,,,
"Family Computing - Volume 4, Number 2 - February 1986",Printed Matter,Magazine,"Family Computing - Volume 4, Number 2 - February 1986",,Claudia Cohl,,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.846,Timothy P. Sweeney,,,
The Best of Family Computing,Printed Matter,Magazine,The Best of Family Computing,Joel Latimer,Claudia Cohl,,Scholastic Inc.,1985,English,Computer Magazine,ISBN 0-590-39044-9,2013.07.847,Timothy P. Sweeney,,,
"Family Computing - Volume 3, Number 11 - November 1985",Printed Matter,Magazine,"Family Computing - Volume 3, Number 11 - November 1995",,Claudia Cohl,,Scholastic Inc.,1985,English,Computer Magazine,76956-14008,2013.07.848,Timothy P. Sweeney,,,
"Family Computing - Volume 2, Number 4 - April 1984",Printed Matter,Magazine,"Family Computing - Volume 2, Number 4 - April 1984",,Claudia Cohl,,Scholastic Inc.,1984,English,Computer Magazine,76956-14008,2013.07.849,Timothy P. Sweeney,,,
"Family Computing - Volume 2, Number 1 - January 1984",Printed Matter,Magazine,"Family Computing - Volume 2, Number 1 - January 1984",,Claudia Cohl,,Scholastic Inc.,1984,English,Computer Magazine,76956-14008,2013.07.850,Timothy P. Sweeney,,,
"Family Computing - Volume 1, Number 4 - December 1983",Printed Matter,Magazine,"Family Computing - Volume 1, Number 4 - December 1983",,Claudia Cohl,,Scholastic Inc.,1983,English,Computer Magazine,76956-14008,2013.07.851,Timothy P. Sweeney,,,
"Family Computing - Volume 1, Number 3 - November 1983",Printed Matter,Magazine,"Family Computing - Volume 1, Number 3 - November 1983",,Claudia Cohl,,Scholastic Inc.,1983,English,Computer Magazine,76956-14008,2013.07.852,Timothy P. Sweeney,,,
"Family Computing - Volume 1, Number 2 - October 1983",Printed Matter,Magazine,"Family Computing - Volume 1, Number 2 - October 1983",,Claudia Cohl,,Scholastic Inc.,1983,English,Computer Magazine,76956-14008,2013.07.853,Timothy P. Sweeney,,,
10 Starter Programs from Family Computing,Printed Matter,Magazine,10 Starter Programs from Family Computing,Joey Latimer,,,Scholastic Inc.,1983,English,Computer Magazine,0-590-39012-0,2013.07.854,Timothy P. Sweeney,"For Apple, Atari, Commodore 64 and VIC-20, TI, TIMEX and TRS-80.",,
Automated Analysis of Language Style and Structure: 1969-1970,Printed Matter,Journal,1969-1970,"Sally Y. Sedelow, et al. (Office of Naval Research, U. S. Navy)",,,University of North Carolina at Chapel Hill,1970,English,Journal,Contract N00014-67-A-0321-001,2013.08.11,Aaron Kuhn,"Report on research for the period March 1, 1969 - August 31, 1970. Research conducted under Office of Naval Research, U.S. Navy, Task No. NR348-005.",,
"Macworld - Volume 2, Number 11 - November 1985",Printed Matter,Magazine,"Macworld - Volume 2, Number 11 - November 1985",,Kearney Rietmann,,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.16,Brad Feld,,,
"Macworld - Volume 2, Number 10 - October 1985",Printed Matter,Magazine,"Macworld - Volume 2, Number 10 - October 1985",,Kearney Rietmann,,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.17,Brad Feld,,,
"Macworld - Volume 2, Number 8 - August 1985",Printed Matter,Magazine,"Macworld - Volume 2, Number 8 - August 1985",,Kearney Rietmann,,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.18,Brad Feld,,,
"Macworld - Volume 2, Number 7 - July 1985",Printed Matter,Magazine,"Macworld - Volume 2, Number 7 - July 1985",,Kearney Rietmann,,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.19,Brad Feld,,,
"Macworld - Volume 2, Number 6 - June 1985",Printed Matter,Magazine,"Macworld - Volume 2, Number 6 - June 1985",,Kearney Rietmann,,PC World Communications,1985,English,Computer Magazine,ISSN 0741-8647,2013.10.20,Brad Feld,,,
