Item,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,ISBN/Identifying #,Accession Number,Donor,Notes
The Great Underground Empire: A history,Printed Matter,Manual,The Great Underground Empire: A history,Marc Blank (Froboz Mumbar),,,"Infocom, Inc.",1984,English,Instruction Manual for Zork,,2017.12.16,,Contains 3 lose sheets of photocopied maps and play instructions
Using dBase II,Printed Matter,Manual,Using dBase II,Carl Townsend,,,Osborne/McGraw-Hill,1984,English,Instruction Manual,0-88134-108-8,2018.04.25,,
Apple II Utilities Guide,Printed Matter,Manual,Apple II Utilities Guide,,,,Apple Computer Inc.,1985,English,Instruction Manual,,2018.04.26,,
dBase II: A Comprehensive User's Manual,Printed Matter,Manual,dBase II: A Comprehensive User's Manual,Kerman D. Bharucha,,,Tab Books Inc.,1985,English,Instruction Manual,0-8306-1884-8,2018.04.27,,
TI Extended BASIC: for the TI-99/4 home computer,Printed Matter,Manual,TI Extended BASIC: for the TI-99/4 home computer,"Robert E. Whitsitt, II",,,Texas Instruments Inc.,1981,English,Instruction Manual,0-89512-045-3,2018.04.28,,
The Apple IIe Extended 80-Column Text Card Manual,Printed Matter,Manual,The Apple IIe Extended 80-Column Text Card Manual,,,,Apple Computer Inc.,,English,Instruction Manual,,2018.04.30,,
How to Run Your Business with dBase,Printed Matter,Manual,How to Run Your Business with dBase,Richard H. Baker,,,Tab Books Inc.,1984,English,Instruction Manual,0-8306-1918-6,2018.04.46,,
Microchess 2.0: A chess playing program for the Commodore PET 8K RAM,Printed Matter,Manual,Microchess 2.0: A chess playing program for the Commodore PET 8K RAM,Peter Jennings,,,Personal Software,1978,English,Instruction Manual,,2018.04.31,,
VICMON 6502 Machine Language Monitor: A friendly instruction guide,Printed Matter,Manual,VICMON 6502 Machine Language Monitor: A friendly instruction guide,,,,"Commodore Business Machines, Inc.",1981,English,Instruction Manual,,2018.04.32,,
VIC-20 Programmable Character Set & Gamegraphics Editor,Printed Matter,Manual,VIC-20 Programmable Character Set & Gamegraphics Editor,,,,"Commodore Business Machines, Inc.",,English,Instruction Manual,,2018.04.33,,
