Item,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date tested,Donor,Notes
IBM Wheelwriter Prestige Elite 12 Bilingual Print Wheel,Peripheral,Misc. parts,IBM Wheelwriter Prestige Elite 12 Bilingual Print Wheel,IBM Wheelwriter Prestige Elite 12 Bilingual Print Wheel,IBM Wheelwriter,,M2054,,,2018.02.22,,,
Teletype ribbon,Peripheral,Misc. parts,Teletype ribbon,Teletype ribbon,Teletype machine,,430035,,,2018.02.33,,,
Retrode,Peripheral,Misc. parts,Retrode,Retrode,Any computer or handheld device with a USB port,Circuit board,,,2010,2018.03.17,,,Comes in comic book slipcase.
"Box of 3.5"" Floppy Disks",Peripheral,Misc. parts,"Box of 3.5"" Floppy Disks","Box of 3.5"" Floppy Disks",,,,,,2018.03.18,,,"Hardcase Diskplay 3.5 floppy storage box contains 16 blank floppy disks, blank labels, two LexMark WinWriter 200 set-up disks, two Quicken Version 3 for Windows install disks, and one Toshiba Companion Diskette."
Future Kit Lie Detector,Peripheral,Misc. parts,Future Kit Lie Detector,Future Kit Lie Detector,N/A,N/A,FK940,141015,,2018.03.19,,,Unopened lie detector kit.
Belkin connector cable with Amphenol 24M cable to panel,Peripheral,Misc. parts,Belkin connector cable with Amphenol 24M cable to panel,Belkin connector cable with Amphenol 24M cable to panel,,25 pin port,,RG-174/U and Amphenol 57-30240,,2018.03.35,,,
Griffin iTalk,Peripheral,Misc. parts,Griffin iTalk,Griffin iTalk,3rd Generation iPod with dock connector,Headphone jack,,,,2018.03.36,,,
ITT Cannon DB 51226-IA Cinch Connector Cable,Peripheral,Misc. parts,ITT Cannon DB 51226-IA Cinch Connector Cable,ITT Cannon DB 51226-IA Cinch Connector Cable,,,,,,2018.03.37,,,
Cue Cat Optical Reader,Peripheral,Misc. parts,Cue Cat Optical Reader,Cue Cat Optical Reader,TV or PC,Male/Female Y-Adaptor to keyboard port,68-1965,,2000,2018.04.18,,,Comes with instruction booklet
Wiko AV/Photo Lamp ,Peripheral,Misc. parts,Wiko AV/Photo Lamp ,,,,ENX 82V360W,,,2018.09.46,,,
GE Quartzline Lamp,Peripheral,Misc. parts,GE Quartzline Lamp,,Slide projector,,FHS 82V 300W,,,2018.09.47,,,
GE Quartzline Lamp,Peripheral,Misc. parts,GE Quartzline Lamp,,Slide projector,,ENX 82V 360W,,,2018.09.50,,,
