Item,Medium,Type,Product Name,User Name,Intended Compatibility,Interface,Model,Serial,Year,Accession #,Tested [date],Donor,Notes
Apple 45W Power Adapter,Peripheral,Power Supplies,Apple 45W Power Adapter,Apple 45W Power Adapter,Apple iBook G4,,M7332,LQ41700218KT4C,2003,2018.03.32,,,
Handspring Visor Power Dock,Peripheral,Power Supplies,Handspring Visor Power Dock,Handspring Visor Power Dock,Handspring Visor,USB,,,,2018.03.33,,,
DVE AC Adapter,Peripheral,Power Supplies,DVE AC Adapter,DVE AC Adapter,,AC port,DSA-0151-12,,,2018.03.34,,,
LG Travel AC Adapter,Peripheral,Power Supplies,LG Travel AC Adapter,LG Travel AC Adapter,,Mini USB,STA-U34WVI,VA10020034875,,2018.03.38,,,
LG Travel AC Adapter,Peripheral,Power Supplies,LG Travel AC Adapter,LG Travel AC Adapter,,Mini USB,STA-U34WVI,VA10030127895,,2018.03.39,,,
Samsung Travel AC Adapter,Peripheral,Power Supplies,Samsung Travel AC Adapter,Samsung Travel AC Adapter,,S 20 Pin,ATADS10JBE,AT3PB14MS/7-G,,2018.03.40,,,
Cyber Acoustics Class 2 Power Supply,Peripheral,Power Supplies,Cyber Acoustics Class 2 Power Supply,Cyber Acoustics Class 2 Power Supply,,AC port,U075035A12,,,2018.03.41,,,
Samsung Travel AC Adapter,Peripheral,Power Supplies,Samsung Travel AC Adapter,Samsung Travel AC Adapter,,S 20 Pin,ATADS10JBE,DK5S909TS/5-B,,2018.03.42,,,
Sega ,Peripheral,Power Supplies,Sega,,Sega,AV/DC,MK-2103,,,2018.10.18,,,
iBook Rechargeable Battery,Peripheral,Power Supplies,iBook Rechargeable Battery,iBook Rechargeable Battery,iBook,N/A,M7426,NI94046VFWW,1999,2015.06.17,,Rafael Fajardo,
