Title,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,ISBN / Identifying Number,Accession Number,Donor,Notes
[Starfleet Command (User Manual)],Printed Matter,Manual,Starfleet Command (User Manual),,,N/A,,,English,,,2013.07.878,,In legal folder.
[The Three Stooges (User Manual)],Printed Matter,Manual,The Three Stooges (User Manual),,,N/A,,,English,,,2013.07.863,,
[Ultima IV (User Manual)],Printed Matter,Manual,Ultima IV (User Manual),,,N/A,,,English,,,2013.07.871,,In legal folder.
[],Printed Matter,,,,,N/A,,,English,,, 2013.08.8,Aaron Kuhn,
[],Printed Matter,,,,,N/A,,,English,,,2013.08.9,Aaron Kuhn,
[],Printed Matter,,,,,N/A,,,English,,,2013.08.10,Aaron Kuhn,
[],Printed Matter,Book,,,,,,,English,Instructional,,2013.07.599,,
[],Printed Matter,Book,,,,,,,English,Instructional,,2013.07.600,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.631,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.633,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.634,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.635,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.636,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.641,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.642,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.643,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.644,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.645,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.653,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.654,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.657,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.680,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.681,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.682,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.684,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.685,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.686,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.688,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.691,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.694,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.695,,
[],Printed Matter,,,,,,,,,Instructional,,2013.07.697,,
