Name,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,Author,Theme,image,360_image
HyperTalk: Beginners Guide to Scripting,Printed Matter,Manual,Introductory,Software,Hypertalk: Beginner’s Guide to Scripting,,,,,Claris,,Addison-Wesley,English,1989,,U90-614-004A,,,,,,,,,,2013.07.370,,Keith Moore,,,,,
HyperCard - Getting Started,Printed Matter,Manual,Introductory,Software,HyperCard: Getting Started,,,,,Claris,,Addison-Wesley,English,1989,,U90-606-009A,,,,,,,,,,2013.07.371,,Keith Moore,,,,,
Apple III - CP/M Reference Manual,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple III - CP/M Reference Manual,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1982,,076-0004,,,,,,,,,,2013.07.372,,Keith Moore,1 of 2 duplicate copies.,,,,
Apple III - CP/M Reference Manual,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple III - CP/M Reference Manual,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1982,,076-0004,,,,,,,,,,2013.07.373,,Keith Moore,2 of 2 duplicate copies.,,,,
Apple III - Apple Business BASIC - Reference Manual - Vol. 2,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple III - Apple Business BASIC - Reference Manual - Volume 2,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1981,,030-292-A,,,,,,,,,,2013.07.374,,Keith Moore,Volume 2 of 2,,,,
Apple III - Apple Business BASIC - Reference Manual - Volume 1,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple III - Apple Business BASIC - Reference Manual - Volume 1,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1981,,030-0122-B,,,,,,,,,,2013.07.375,,Keith Moore,Volume 1 of 2,,,,
The Osborne/McGraw-Hill Guide to Your Apple III,Printed Matter,Book,Reference,Computer LIteracy,The Osborne/McGraw-Hill Guide to Your Apple III,,,,,Stanley M. Miastkowski,,Osborne/McGraw-Hill,English,1983,, 0-88134-101-0,,,,,,,,,,2013.07.376,,Keith Moore,,,,,
Apple III - VISICALC III - User’s Manual,Printed Matter,Manual,User,"Apple Computer, Inc.",Apple III - VISICALC III - User’s Manual,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1981,,030-0149-01,,,,,,,,,,2013.07.377,,Keith Moore,,,,,
Apple III - SoftCard III - Installation and Operation Manual,Printed Matter,Manual,Setup,"Apple Computer, Inc.",Apple III - SoftCard III - Installation and Operation Manual,,,,"Apple Computer, Inc.",,,"Apple Computer, Inc.",English,1982,,076-0003,,,,,,,,,,2013.07.378,,Keith Moore,2013.07.380.,,,,
Osborne CP/M User Guide,Printed Matter,Book,Reference,Computer Literacy,Osborne CP/M User Guide,,,,,Thom Hogan,,Osborne/McGraw-Hill,English,1982,, 0-931988-81-0,,,,,,,,,,2013.07.379,,Keith Moore,Special Microsoft Softcard Edition for Apple II and Apple III owners.,,,,
Apple III - SoftCard III - Installation and Operation Manual,Printed Matter,Manual,Setup,"Apple Computer, Inc.",Apple III - SoftCard III - Installation and Operation Manual,,,,,"Apple Computer, Inc.",,"Apple Computer, Inc.",English,1982,,076-0003,,,,,,,,,,2013.07.380,,Keith Moore,2 of 2 duplicate copies.,,,,
