Item,Medium,Type,Format,Intended Compatibility,Product Name,Username,Developer,Author,Publisher,Language,Year,Parts,Original Price,Identifying Number,Accession Number,Date tested,Donor,Notes,,,,,,,
Amiga,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,,,,,,,,,,,,,,,,,,,,,,,,,
Word Juggler,Software,System Software,5¼” Floppy Disk,Apple,Word Juggler,,Quark Engineering,Tim Gill,Quark Engineering,English,1982,"Binder, three 5¼” Floppy Disks, User's manual, two stapled booklets of instructions",,,2017.12.36,,,,,,,,,,
Apple III Demo,Software,System Software,5¼” Floppy Disk,Apple,,,,,,English,,Homemade cardstock sleeve and 5¼” Floppy Disk,,,2018.01.30,,,,,,,,,,
Apple III Diskware Program,Software,System Software,5¼” Floppy Disk,Apple,Apple III Diskware Program,,,,Apple,English,,5¼” Floppy Disk,,,2018.01.32,,,,,,,,,,
Aldus SuperPaint,Software,System Software,"3.5"" Floppy Disk",Apple,Aldus SuperPaint,Aldus SuperPaint,Silicon Beach Software,,Silicon Beach Software,English,1991,"Box with user manual, three 3.5"" floppy SuperPaint disks, one 3.5"" floppy ClickArt Sampler disk.",,1-56026-090-4,2018.04.57,,,,,,,,,,
Adobe Photoshop 5.0,Software,System Software,CD,Apple,Adobe Photoshop 5.0,Adobe Photoshop 5.0,Adobe Systems Inc.,,Adobe Systems Inc.,English,1998,Box with user guide and installation CDs.,,90011189198,,,,,,,,,,,
Word Juggler,Software,System Software,5¼” Floppy Disk,Apple,Word Juggler,,Quark Engineering,,Quark Engineering,English,1980,"Binder, two 5¼”  floppy disks, instruction manual, reference guide, plastic sleeve with two Lexicheck 5¼” floppy disks, Visicalc III pocket reference guide, and WordStar reference guide",295,,2018.09.19,,,,,,,,,,
Gutenberg,Software,System Software,5¼” Floppy Disk,Apple,Gutenberg,,Gutenberg Software Limited,,Micromation Limited,English,1981,Binder in box sleeve with User Manual and three 5¼” Floppy Disks,,,2018.09.21,,,,,,,,,,
Dreamweaver,Software,Productivity,CD,Apple,Dreamweaver,,Macromedia,,Macromedia,English,2000,Box with CD inside,,,2018.09.24,,,,,,,,,,
Microsoft Office: mac Student and Teacher Edition,Software,System Software,CD,Apple,Microsoft Office: mac Student and Teacher Edition,,Microsoft,,Microsoft,English,2004,"Box with Microsoft Office CD, Installation software CD and guide, 500 hours of America Online installation CD",,,2018.09.25,,,,,,,,,,
Mac OS X Panther Version 10.3,Software,System Software,CD,Apple,Mac OS X Panther Version 10.3,,Apple Computer Inc.,,Apple Computer Inc.,English,2003,Box with 4 installation CDs and guidebooks,,M9227LL/A,2018.09.26,,,,,,,,,,
Adobe Photoshop 6.0,Software,Productivity,CD,Macintosh,Adobe Photoshop 6.0,,Adobe Systems Inc.,,Adobe Systems Inc.,English,2000,Box with CD and shrinkwrapped user guide and technical support guides.,,PN: 13101334,2018.09.27,,,,,,,,,,
Adobe Photoshop CS,Software,Productivity,CD,Macintosh,Adobe Photoshop CS,,Adobe Systems Inc.,,Adobe Systems Inc.,English,2003,Box with CD and user guide,,PN: 13101766,2018.09.28,,,,,,,,,,
Mac activation key,Software,System Software,CD,Apple,Mac activation key,,Apple Computer Inc.,,Apple Computer Inc.,English,2003,CD in paper sleeve,,,2018.09.30,,,,,,,,,,
AppleCare Protection Plan,Software,System Software,CD,Apple,AppleCare Protection Plan,,Apple Computer Inc.,,Apple Computer Inc.,English,2003,CD in paper sleeve,,0Z691-5074-A,2018.09.31,,,,,,,,,,
Flash 5 / Page Maker 6.6,Software,Productivity,CD,Adobe,Flash 5 / Page Maker 6.6,,Adobe Systems Inc.,,,English,,Burned CD in case,,,2018.09.32,,,,,,,,,,
Flash MX,Software,Productivity,CD,Adobe,Flash MX,,Adobe Systems Inc.,,,English,,Burned CD in paper sleeve,,,2018.09.33,,,,,,,,,,
VisiCalc,Software,Productivity,5¼” Floppy Disk,Apple II & II Plus,VisiCalc,,"Software Arts, Inc",,VisiCorp,English,1981,Three 5¼” Floppy Disks; VisiCalc User's Guide,,User Guide Part Number: 10911-2212,2018.10.05,,KansasFest 2018 Garage Giveaway,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Atari,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Commodore VIC-20,,,,,,,,,,,,,,,,,,,,,,,,,
