Name,Medium,Type,Format,Intended Compatibility,Product Name,User Name,Performer,Composer,Publisher,Language,Year,Parts,Original Price,Identifying #,Accession #,Tested [date],Donor,Notes
[“I Want to Go Back to Michigan”/ “In Siam-Wars of the World”],Audio/Video,Record,Edison Diamond disc record, Edison,“I Want to Go Back to Michigan”/ “In Siam-Wars of the World”,“I Want to Go Back to Michigan”/ “In Siam-Wars of the World”,Billy Murray and Chorus,Irving Berlin/Manuel Klein,Edison,English, 1912,,$1, 50198, 2015.02.90.1,,, In original sleeve
[“Alone in the Deep”/ “As Long as the World Rolls On”],Audio/Video,Record,Edison Diamond disc record, Edison,“Alone in the Deep”/ “As Long as the World Rolls On”,“Alone in the Deep”/ “As Long as the World Rolls On”,Male Quartet/ Reed Miller,Johann Schmid/ Ernest Ball,Edison,English, 1912,,$1.50, 80186, 2015.02.90.2,,, In original sleeve
[“Medley of American Patriotic Airs” / “Medley of American War Songs”],Audio/Video,Record,Edison Diamond disc record, Edison,“Medley of American Patriotic Airs” / “Medley of American War Songs”,“Medley of American Patriotic Airs” / “Medley of American War Songs” Developer: ,New York Military Band,N/A,Edison,English, 1914,,$1, 50212, 2015.02.90.3,,, In original sleeve; bottom corners of sleeve have been cut off
[“Dreaming - Waltz Hesitation” / “Adele - Waltz Hesitation”],Audio/Video,Record,Edison Diamond disc record, Edison,“Dreaming - Waltz Hesitation” / “Adele - Waltz Hesitation”,“Dreaming - Waltz Hesitation” / “Adele - Waltz Hesitation”,Band,Archibald Joyce / Jean Briquet,Edison,English, 1912,,$1, 50146, 2015.02.90.4,,, in original sleeve
[“Melanie”/ “She is Far From the Land”],Audio/Video,Record,Edison Diamond Disc, Edison,“Melanie”/ “She is Far From the Land”,“Melanie”/ “She is Far From the Land”,Reed Miller/ Thomas Chalmers,Eric Coates/ Frank Lambert,Edison,English, 1912,,$1.50, 80173, 2015.02.90.5,,,
[“Looking This Way” / “Some Sweet Day By and By”],Audio/Video,Record,Edison Diamond disc record, Edison,“Looking This Way” / “Some Sweet Day By and By”,“Looking This Way” / “Some Sweet Day By and By”,Metropolitan Quartet,Van De Venter / Crosby-Doane,Edison,English, 1916,,$1.70, 80501, 2015.02.90.6,,, in original sleeve
[“America (My Country ‘Tis of Thee”/ “The Star-Spangled Banner”],Audio/Video,Record,Edison Diamond Disk, Edison,“America (My Country ‘Tis of Thee”/ “The Star-Spangled Banner”,“America (My Country ‘Tis of Thee”/ “The Star-Spangled Banner”,Mixed Quartet/ Thomas Chalmers,N/A/ Francis Scott Key,Edison,English, 1912,,$1.50, 80172, 2015.02.90.7,,, In original sleeve
[“I’m On My Way To Mandalay” / “I’ve a Cosy Little Cottage in the Country”],Audio/Video,Record,Edison Diamond Disc record, Edison,“I’m On My Way To Mandalay” / “I’ve a Cosy Little Cottage in the Country”,“I’m On My Way To Mandalay” / “I’ve a Cosy Little Cottage in the Country”,Elizabeth Spencer and Walter van Brunt / Walter van Brunt,Fred Fischer / Arnold and Brown,Edison,English, 1912,,$1.50, 80159, 2015.02.90.9,,, in original sleeve
[“A Call to Arms”/ “Your King and Country Want You”], ,Audio/Video,Record,Edison Diamond Disc, Edison,“A Call to Arms”/ “Your King and Country Want You”,“A Call to Arms”/ “Your King and Country Want You”,Peerless Quartet/ Helen Clark,Paul Rubens Publisher:,English, 1914,,$1.50, 80232, 2015.02.90.10,,, In original sleeve
[“Scenes That Are - Brightest Fantasia” / “The Last Rose of Summer”],Audio/Video,Record,Edison Diamond disc record, Edison,“Scenes That Are - Brightest Fantasia” / “The Last Rose of Summer”,“Scenes That Are - Brightest Fantasia” / “The Last Rose of Summer” Performer:,Thomas Moore,Edison,English, 1912,,$1.50, 80116, 2015.02.90.11,,, in original sleeve, bottom corners cut off
[“A Perfect Day” / “Somewhere a Voice is Calling”],Audio/Video,Record,Edison Diamond disc record, Edison,“A Perfect Day” / “Somewhere a Voice is Calling”,“A Perfect Day” / “Somewhere a Voice is Calling”,Mixed Quartet Orchestra / Elizabeth Spencer and Vernon Archibald,Carrie Jacobs-Bond / Arthur F. Tate,Edison,English, 1912,,$1.50, 80125, 2015.02.90.12,,, in original sleeve
[“Light Cavalry Overture”/ “La Danseuse Intermezzo”],Audio/Video,Record,Edison Diamond Disc, Edison,“Light Cavalry Overture”/ “La Danseuse Intermezzo”,“Light Cavalry Overture”/ “La Danseuse Intermezzo” Performer:,Franz von Suppe, Franz von Blom,Edison,English, 2014,,$1.50, 80096, 2015.02.90.13,,,
[“Her Bright Smile Haunts Me Still” / “Mary (Kind and Gentle is She”],Audio/Video,Record,Edison Diamond disc record, Edison,“Her Bright Smile Haunts Me Still” / “Mary (Kind and Gentle is She”,“Her Bright Smile Haunts Me Still” / “Mary (Kind and Gentle is She”,John Young and Chorus / Reed Miller,W.T. Wrighton / T. Richardson,Edison,English, 1914,,$1.50, 80122, 2015.02.90.16,,, in original sleeve
[“The Rosary” / “When the Robins Nest Again”],Audio/Video,Record,Edison Diamond disc record, Edison,“The Rosary” / “When the Robins Nest Again”,“The Rosary” / “When the Robins Nest Again”,Christine Miller and Chorus,Ethelbert Nevin / Frank Howard,Edison,English, 1914,,$1.50, 80100, 2015.02.90.18,,, in original sleeve
[“Largo”/ “Broken Heart”],Audio/Video,Record,Edison Diamond Disc, Edison,“Largo”/ “Broken Heart”,“Largo”/ “Broken Heart” Performer:,Handel/ Ernest Gillet,Edison,English, 1912,,$1.00, 50053, 2015.02.90.19,,, In original sleeve, corners badly bent
Performer:,Handel/ Ernest Gillet,Edison,English, 1912,,$1.00, 50053, 2015.02.90.19,,, In original sleeve, corners badly bent [“Benediction of the Poignards- The Huguenots”/ “Ballet Music from Faust- Parts 1 and 2”],Audio/Video,Record,Edison Diamond Disc, Edison,“Benediction of the Poignards- The Huguenots”/ “Ballet Music from Faust- Parts 1 and 2”,“Benediction of the Poignards- The Huguenots”/ “Ballet Music from Faust- Parts 1 and 2”
[“Rescue the Perishing”/ “O Morning Land”],Audio/Video,Record,Edison Diamond Disc, Edison,“Rescue the Perishing”/ “O Morning Land”,“Rescue the Perishing”/ “O Morning Land”,John Young and Frederick Wheeler/ Elizabeth Spencer and John Young,William Doane/ Edward Phelps,Edison,English, 1914,,$1.50, 80115, 2015.02.90.22,,, In original sleeve
