[Product Name],Medium,Type,Product Name,User Name,Intended Compatibility,Interface,Model,Serial,Year,Accession #,Tested [date],Donor,Notes
[Emerson Portable Color Television with Tuner],Peripheral,Television Set,Television with AM/FM Tuner,Emerson Portable Color Television with Tuner,N/A,"DC, AC, Battery Power Connections",TC0561,(21)50270226010930600932Y (also 010-30600932),1993,2013.12.98,,,
[Magnavox RS5554 AK03 Television],Peripheral,Television Set,Magnavox RS5554 AK03,Magnavox RS5554 AK03 Television,N/A,,RS5554 AK03,80080449,,2013.09.1,,,Gary and Colleen Rynearson
[MGA/Mitsubishi CS-1944R (Color Television)],Peripheral,Television Set,MGA/Mitsubishi CS-1944R,MGA/Mitsubishi CS-1944R (Color Television),N/A,,CS-1944R,,,2013.06.46,5/30/2013,,Connected to the Commodore VIC-20.
[RCA XL 100 Television],Peripheral,Television Set,RCA XL 100,RCA XL 100 Television,N/A,Coaxial and RCA Connections,XL 100,CTC185AB,1998,2013.06.98,12/11/2013,,
[Sony Trinitron 32-inch Television],Peripheral,Television Set,Trinitron Color TV,Sony Trinitron 32-inch Television,N/A,RCA and Coaxial Inputs,KV-32S10,7009444,1994,2013.12.34,12/11/2013,Kyle Bickoff,
[Sony Trinitron Color Receiver/Monitor],Peripheral,Television Set,Sony Trinitron,Sony Trinitron Color Receiver/Monitor,N/A,UHF/VHF,CVM-1250,012677,1977,2013.06.31,5/30/2013,,Currently connected to the Atari 400.
[Toshiba 32-inch CRT Television],Peripheral,Television Set,Toshiba 32-inch CRT Television,Toshiba 32-inch CRT Television,N/A,,CX32G60,,,2013.07.354,, Justin Harned,
[Zenith K820Y solid-state television],Peripheral,Television Set,Zenith K820Y television,Zenith K820Y television,N/A,UHF/VHF,K820Y,1086316,1978,2014.08.44,,,
[Zenith BT120A 14-inch television ],Peripheral,Television Set,Zenith BT120A television,Zenith BT120A television,,UHF/VHF,BT120A,101-664?-28 (Partially damaged label),1983,2014.08.45,,,
[Supra Handy TV],Peripheral,Television Set,Supra Handy TV,Supra Handy TV,UHF,Coax,BQZ8Z3 001,N/A,,2014.10.34,,Don Witte,Marker writing on screen
