Item,Medium,Type,Product Name,Director,Studio,Manufacturer,Film Year,Identifying Number,Original Price,Serial Number,Compatible Peripherals,Accession Number,Date Tested,Donor,Notes
Our Money System,Sound Filmstrips,35 mm film strip,The Associated Press Special Report Our Money System ,,,"Guidance Associates of Harcourt, Brace, and World",1967,,,,"Automatic Sound Filmstrip Projectors Filmstrip projector, audio turntable",8.19.27,08-24-19,,Also has LP with lesson on it and guidebook for teachers
Our Credit Economy,Film recording,35 mm film strip,The Associated Press Special Report Our Credit Economy,,,"Guidance Associates of Harcourt, Brace, and World",,,,,"Automatic Sound Filmstrip Projectors Filmstrip projector, audio turntable",8.19.28,08-24-19,,Also has LP with lesson on it
Beowulf - Director's Cut,HD DVD,HD DVD,Beowulf - Director's Cut,Robert Zemeckis,Paramount Pictures,,2007,1-4157-3933-1,,,"HD DVD player, Xbox 360",2019.11.03,,,inc. special features
Transformers - two-disc special edition,HD DVD,HD DVD,Transformers - two-disc special edition,Michael Bay,Dreamworks,,2007,1-4157-3656-1,,,"HD DVD player, Xbox 360",2019.11.04,,,inc. special features
The Bourne Identity,HD DVD,HD DVD,The Bourne Identity,Doug Liman,Universal,,2002,HD DVD #61027752,,,"HD DVD player, Xbox 360",2019.11.05,,,inc. special features
The Good Shepherd,"HD DVD, DVD","HD DVD, DVD",The Good Shepherd,Robert DeNiro,Universal,,2006,,,,"DVD Player, HD DVD player, XBox 360",2019.11.06,,,"inc. special features, print errors in the specs list"
Eternal Sunshine of the Spotless Mind,HD DVD,HD DVD,Eternal Sunshine of the Spotless Mind,Michel Gondry,Universal,,2004,HD DVD #62032831,,,"HD DVD player, Xbox 360",2019.11.07,,,inc. special features
U-571,HD DVD,HD DVD,U-571,Jonathan Mostow,Universal,,2000,HD DVD #61027779,,,"HD DVD player, Xbox 360",2019.11.08,,,inc. special features
Apollo 13,HD DVD,HD DVD,Apollo 13,Ron Howard,Universal,,1995,HD DVD #61027778,,,"HD DVD player, Xbox 361",2019.11.09,,,inc. special features
Elizabeth the Golden Age,"HD DVD, DVD","HD DVD, DVD",Elizabeth the Golden Age,Shekar Kapur,Universal,,2007,HD DVD  & DVD COMB FORMAT #61102688,,,"DVD Player, HD DVD player, XBox 360",2019.11.10,,,inc. special features
Army of Darkness,HD DVD,HD DVD,Army of Darkness,Sam Raimi,Universal,,1992,HD DVD #61101612,,,"HD DVD player, Xbox 360",2019.11.11,,,inc. special features
