Name,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date Tested,Donor,Notes
Apple Disk III,Peripheral,Floppy Disk Drive,Disk III,Apple Disk III,Apple III,"5¼-inch Floppy Disk Drive, 26-pin Ribbon Cable Connector",A3M0004,N/A,~1980,2013.06.11,2013-05-30,,
Apple Disk IIc,Peripheral,Floppy Disk Drive,Disk IIc,Apple Disk IIc,Apple IIc,"5¼-inch Floppy Disk Drive, 19-pin D-Sub Connector",A2M4050,F301954,1984,2013.06.16,2013-05-30,,
Atari 1050 External 5¼’’ Floppy Drive,Peripheral,Floppy Disk Drive,Atari 1050 External 5¼’’ Floppy Drive,Atari 1050 External 5¼’’ Floppy Drive,Atari Computers,5¼-inch Floppy Disk Drive,N/A,N/A,N/A,2013.06.37,,,"2013.06.38, 2013.07.219."
Commodore 1541 Disk Drive,Peripheral,Floppy Disk Drive,Commodore 1541,Commodore 1541 Disk Drive,Commodore Computers,5¼-inch Floppy Disk Drive,1541,N/A,N/A,2013.06.47,,,"2013.06.52-53, 2013.07.208-212, 2013.07.228."
Commodore 1571 External Disk Drive,Peripheral,Floppy Disk Drive,Commodore 1571,Commodore 1571 External Disk Drive,Commodore Computers,5¼-inch Floppy Disk Drive,1571,N/A,N/A,2013.06.58,,,
Apple 5.25 Drive,Peripheral,Floppy Disk Drive,Apple 5.25 Drive,Apple 5.25 Drive,Apple II Series,"5¼-inch Floppy Disk Drive, Serial Cable",A9M0107,KGU9861,1986,2013.06.6,2013-05-30,,2013.07.145-148.
Franklin ACE 1000 - EliteOne 5¼” Floppy Disk Drive,Peripheral,Floppy Disk Drive,EliteOne 5¼” Floppy Disk Drive,Franklin ACE 1000 - EliteOne 5¼” Floppy Disk Drive,Franklin ACE 1000,5¼-inch Floppy Disk Drive,EliteOne,N/A,N/A,2013.06.78,,,2013.06.79.
Apple UniDisk 5.25,Peripheral,Floppy Disk Drive,UniDisk 5.25,Apple UniDisk 5.25,Apple II Series,5¼-inch Floppy Disk Drive,A9M0104,KA40010,1984,2013.07.149,,,
Apple DuoDisk 5.25,Peripheral,Floppy Disk Drive,DuoDisk 5.25,Apple DuoDisk 5.25,Apple II series,"Dual 5¼-inch Floppy Disk Drives. Originally released with a DB-25 connector, it was the first to adopt Apple's standard DB-19 floppy drive connector.",A9M0108,489275,1983,2013.07.150,,,2013.07.151-152.
Apple Disk II Floppy Disk Subsystem,Peripheral,Floppy Disk Drive,"Disk II Floppy Disk Subsystem, Disk ][",Apple Disk II Floppy Disk Subsystem,Apple II Series,"5¼-inch Floppy Disk Drive, 20-pin Ribbon Cable",A2M0003,N/A,1978,2013.07.222,,,2013.07.223-227.
IBM Laptop External Floppy Drive FD-05P,Peripheral,Floppy Disk Drive,IBM Laptop External Floppy Drive FD-05P,IBM Laptop External Floppy Drive FD-05P,IBM Laptops,"3¼-inch External Floppy Drive, Molex cable connection",FD-05P,10H3980,N/A,2013.07.250,,,
External 3½” USB Floppy Drive,Peripheral,Floppy Disk Drive,External 3½” USB Floppy Drive,External 3½” USB Floppy Drive,N/A,N/A,N/A,N/A,N/A,2013.07.264,,Deena Larsen,
VST Technologies 3½” External USB Floppy Drive,Peripheral,Floppy Disk Drive,VST Technologies 3½” External USB Floppy Drive,VST Technologies 3½” External USB Floppy Drive,N/A,N/A,N/A,N/A,N/A,2013.07.367,,,
Amiga Citizen RF332C Floppy Drive,Peripheral,Floppy Disk Drive,Citizen RF332C Floppy Drive,Citizen RF332C Floppy Drive,Amiga,Parallel,RF332C,332C-915074,1991,2014.08.27,,,
Macintosh PowerBook Floppy Drive Expansion Bay Module,Peripheral,Floppy Disk Drive,Macintosh PowerBook Floppy Drive Expansion Bay Module,Macintosh PowerBook Floppy Drive Expansion Bay Module,Macintosh,SCSI-SAS,N/A,N/A,1995,2014.09.27,,,
Sony Micro Floppy Disk Drive,Peripheral,Floppy Disk Drive,Sony Micro Floppy Disk Drive,Sony Micro Floppy Disk Drive,Macintosh,N/A,0A-D34V-02,529248,N/A,2014.09.84,,,No front cover to drive.
Amiga 1010 External 3.5 Disk Drive,Peripheral,Floppy Disk Drive,Amiga 1010 External 3.5 Disk Drive,Amiga 1010 External 3.5 Disk Drive,Commodore Amiga,23-pin Serial,1010,xn0161908,1985,2015.03.14,,,
Apple II External Floppy Disk Drive,Peripheral,Floppy Disk Drive,Apple II External Floppy Disk Drive,Apple II External Floppy Disk Drive,Apple II Series,"5¼-inch Floppy Disk Drive, 20-pin Ribbon Cable",A2M0003,,,2018.03.02,,,Sticker on back reads: Property of Apple Computers. To be returned with defective exchange module.
