Name,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date Tested,Donor,Notes
Apple Modem 300,Peripheral,Modem,Apple Modem 300,Apple Modem 300,Apple Computers,N/A,A9M0300,LA 032414,N/A,2013.07.135,,,"In box with power cable, connector cable, instruction manual"
Commodore 64 Modem,Peripheral,Modem,Commodore 64 Modem,Commodore 64 Modem,Commodore 64,N/A,N/A,N/A,N/A,2013.07.248,,,
CAT Novation Modem,Peripheral,Modem,CAT Modem,CAT Novation Modem,Apple II,25-pin Serial,CAT,92394,Late 1970s,2013.12.19,,Brad Feld,
Siemens SpeedStream 4100 Modem,Peripheral,Modem,Siemens SpeedStream 4100 Modem,Siemens SpeedStream 4100 Modem,,Ethernet,060-D141-A12,20013A33CACC3,2010,2014.06.44,,Brad Feld,
HesModem I,Peripheral,Modem,HesModem I,HesModem I,Commodore 64 and VIC 20,Direct-Connect,I,007833,1984,2016.07.8,,,
Actiontec USB/Ethernet DSL Modem,Peripheral,Modem,Actiontec USB/Ethernet DSL Modem,Actiontec USB/Ethernet DSL Modem,N/A,Wired Ethernet,GT701R,S100Y32069306,,2018.02.29,,,"Comes in Qwest shipping box with set up disk, instructions, power cord, and connection hardware."
Linksys Wireless Ethernet Bridge,Peripheral,Router,Wireless-G Business Ethernet Bridge,,,Wireless Ethernet,WET200,MPV00J100165,2009,2019.04.144,,UCB Bookstore,Includes power supply
Linksys Cable/DSL Router,Peripheral,Router,Instant Broadband Series EtherFast Cable/DSL Router,,,Ethernet,BEFSR41,R210B32630,,2019.06.01,,,
Teleport Platinum Fax/Modem,Peripheral,Fax / Modem,Teleport Platinum Fax / Modem,,,Fax / Modem,A812,PT924872,,2019.06.04,06-08-19,,"tested power only , Includes power supply (w/ other power blocks)"
Linksys Wireless Broadband Router,Peripheral,Router,Wireless-G Broadband Router,,,Wireless Ethernet,WRT545S,CGN30E431742,2009,2019.06.05,06-08-19,UCB Bookstore,"tested power only , Includes power supply (w/ other power blocks) MAC address 001310886A67"
Netgear Ethernet Switch,Peripheral,Switch,Netgear Ethernet Switch,,,Ethernet,FS105,FS15A1007233,,2019.06.06,06-08-19,,"tested power only, Includes power supply (w/ other power blocks) Found unlabeled in networking bin, has sticky note ""P.S. #20144"" on it"
