Name,Medium,Type,Product Name,Username,Intended Compatibility,Interface,Model,Serial,Year,Accession Number,Date Tested,Donor,Notes
[Atari Cassette Deck],Peripheral,Tape Drive,Atari 410 Program Recorder,Atari Cassette Deck,Atari Computers,Cassette Tape,410,N/A,N/A,2013.06.34,5/30/2013,,2013.06.35.
[Maxim PM-C16 External Cassette Deck for VIC-20],Peripheral,Tape Drive,PM-C16,Maxim PM-C16 External Cassette Deck for VIC-20,Commodore VIC-20,Cassette Tape,N/A,N/A,N/A,2013.06.48,,,
[Commodore 1530 (C2N) Datasette],Peripheral,Tape Drive,Commodore 1530 (C2N) Datasette,Commodore 1530 (C2N) Datasette,Commodore Computers,Cassette Tape,1530,N/A,N/A,2013.06.54,,,"2013.07.213, 2013.07.214, 2013.07.215, 2013.07.216, 2013.07.217, 2013.07.218."
[Commodore 1530 (C2N) Datasette],Peripheral,Tape Drive,Commodore 1530 (C2N) Datasette,Commodore 1530 (C2N) Datasette,Commodore Computers,Cassette Tape,,1037937,N/A,2015.10.24,,,"Cracked in front, a little plastic is broken off."
Sanyo Transcriber TRC 9010,Peripheral,Tape Drives,Sanyo Transcriber TRC 9010,Sanyo Transcriber TRC 9010,,,TRC 9010,3423673,,2018.02.30,,,Missing foot pedal
Tandy Computer Cassette Recorder CCR-81,Peripheral,Tape Drives,Tandy Computer Cassette Recorder CCR-81,Tandy Computer Cassette Recorder CCR-81,TRS-80,,26-1208A,,,2018.03.01,,,In box; missing AC.
Data General 525MB High Density Cassette,Peripheral,Tape Drives,Data General 525MB High Density Cassette,Data General 525MB High Density Cassette,,Cassette Tape,MV3500,,,2018.04.08,,,Handwritten label on cassette says: Webgear 3.04 1-27-98; Webetc Patch 64; Webetc Patch 65
3M DC6150 Data Cassette,Peripheral,Tape Drives,3M DC6150 Data Cassette,3M DC6150 Data Cassette,,Cassette Tape,,,,2018.04.09,,,Typed label on case says: LPI-Fortran; Rev. 03.10.00; AViiON 88000; DG-UX 4.10; 1 of 1. Printed label on cassette says: AutoSys Version 3.1Bundled DBMS: Sybase To install: See Installation Guide Copyright 1994 AutoSystems Corporation All Rights Reserved. Handwritten label on cassette says: WIN98 OS only C:\WIN95 = registry 1 of 2
Data General 525MB High Density Cassette,Peripheral,Tape Drives,Data General 525MB High Density Cassette,Data General 525MB High Density Cassette,,Cassette Tape,MV3500,,,2018.04.10,,,Handwritten label on cassette says: NovaStore full backup; no good set 2 of 4
3M DC6150 Data Cassette,Peripheral,Tape Drives,3M DC6150 Data Cassette,3M DC6150 Data Cassette,,Cassette Tape,,,,2018.04.11,,,Handwritten label on cassette says: WIN95 OS only tape 2 of 2 1-29-99
3M DC600A Data Cartidge Tape,Peripheral,Tape Drives,3M DC600A Data Cartidge Tape,3M DC600A Data Cartidge Tape,,Cassette Tape,,5A9201650,,2018.04.12,,,Handwritten label on cassette says: Bull City Website 10/13/98 from pumpkin download. Don't load project .vpp (conflicts with home version)
Sony 150MB Data Cartidge ,Peripheral,Tape Drives,Sony 150MB Data Cartidge ,Sony 150MB Data Cartidge ,,Cassette Tape,QD6150,K14E8137,,2018.04.13,,,Handwritten label on cassette says: Downloads: Photoshop 5.0.2 Photoshow 1.1 Lotus updates; Communicator 4.5 128-bit; Acrobat 3.01; Office 97 SR2a
Data General 525MB High Density Cassette,Peripheral,Tape Drives,Data General 525MB High Density Cassette,Data General 525MB High Density Cassette,,Cassette Tape,MV3500,,,2018.04.14,,,Handwritten label on cassette says: Full D: 4 of 4
